"All crash data available using this tool represents reportable data collected from Texas Peace Officer's Crash Reports (CR-3) received and processed by the Texas Department of Transportation (Department) as of 06/10/2024. The Department makes no warranty, representation or guaranty as to the content, accuracy, timeliness or completeness of any of the information provided as a result of your query. Any opinions and conclusions resulting from analysis performed on the crash data must be represented as your own and not those of the State of Texas or the Department. "

"Query Result Counts:"
"Your query returned a total of 1,488 Crashes containing 3,009 Units and 3,851 Persons"

"Filters Applied to current Query:"
"Crash Date Is Between  2024-03-01 00:00 and 2024-04-01 00:00"
"County Is Equal To TRAVIS"


"Crash ID","$1000 Damage to Any One Person's Property","Charge","Citation","Person Age","Person Airbag Deployed","Person Alcohol Result","Person Alcohol Specimen Type Taken","Person Blood Alcohol Content Test Result","Person Death Count","Person Drug Specimen Type","Person Drug Test Result","Person Ejected","Person Ethnicity","Person Gender","Person Helmet","Person Injury Severity","Person Non-Suspected Serious Injury Count","Person Not Injured Count","Person Number","Person Possible Injury Count","Person Restraint Used","Person Suspected Serious Injury Count","Person Time of Death","Person Total Injury Count","Person Type","Person Unknown Injury Count","Physical Location of An Occupant","Solicitation"
"20054256","Yes","NO CHARGES","No Data","67","2 - DEPLOYED, FRONT","No Data","96 - NONE","No Data","0","96 - NONE","97 - NOT APPLICABLE","1 - NO","W - WHITE","2 - FEMALE","97 - NOT APPLICABLE","B - SUSPECTED MINOR INJURY","1","0","1","0","1 - SHOULDER & LAP BELT","0","No Data","1","1 - DRIVER","0","1 - FRONT LEFT OR MOTORCYCLE DRIVER","0"
"20054256","Yes","NO CHARGES","No Data","34","2 - DEPLOYED, FRONT","No Data","96 - NONE","No Data","0","96 - NONE","97 - NOT APPLICABLE","1 - NO","H - HISPANIC","1 - MALE","97 - NOT APPLICABLE","N - NOT INJURED","0","1","1","0","1 - SHOULDER & LAP BELT","0","No Data","0","1 - DRIVER","0","1 - FRONT LEFT OR MOTORCYCLE DRIVER","0"
"20054256","Yes","NO CHARGES","No Data","20","2 - DEPLOYED, FRONT","No Data","No Data","No Data","0","No Data","No Data","1 - NO","H - HISPANIC","1 - MALE","97 - NOT APPLICABLE","N - NOT INJURED","0","1","2","0","1 - SHOULDER & LAP BELT","0","No Data","0","2 - PASSENGER/OCCUPANT","0","3 - FRONT RIGHT","0"
"20054256","Yes","NO CHARGES","No Data","15","97 - NOT APPLICABLE","No Data","No Data","No Data","0","No Data","No Data","1 - NO","H - HISPANIC","1 - MALE","97 - NOT APPLICABLE","N - NOT INJURED","0","1","3","0","1 - SHOULDER & LAP BELT","0","No Data","0","2 - PASSENGER/OCCUPANT","0","4 - SECOND SEAT LEFT OR MOTORCYCLE BACK PASSENGER","0"
"20054279","Yes","DRIVING WHILE  INTOXICATED","No Data","33","1 - NOT DEPLOYED","1 - POSITIVE","1 - BREATH","0.199","0","96 - NONE","97 - NOT APPLICABLE","1 - NO","H - HISPANIC","1 - MALE","97 - NOT APPLICABLE","N - NOT INJURED","0","1","1","0","1 - SHOULDER & LAP BELT","0","No Data","0","1 - DRIVER","0","1 - FRONT LEFT OR MOTORCYCLE DRIVER","0"
"20054279","Yes","NO CHARGES","No Data","21","1 - NOT DEPLOYED","No Data","96 - NONE","No Data","0","96 - NONE","97 - NOT APPLICABLE","1 - NO","H - HISPANIC","1 - MALE","97 - NOT APPLICABLE","B - SUSPECTED MINOR INJURY","1","0","1","0","1 - SHOULDER & LAP BELT","0","No Data","1","1 - DRIVER","0","1 - FRONT LEFT OR MOTORCYCLE DRIVER","0"
"20054279","Yes","NO CHARGES","No Data","No Data","1 - NOT DEPLOYED","No Data","96 - NONE","No Data","0","96 - NONE","97 - NOT APPLICABLE","1 - NO","H - HISPANIC","1 - MALE","97 - NOT APPLICABLE","N - NOT INJURED","0","1","1","0","1 - SHOULDER & LAP BELT","0","No Data","0","1 - DRIVER","0","1 - FRONT LEFT OR MOTORCYCLE DRIVER","0"
"20054309","Yes","NO CHARGES","No Data","35","1 - NOT DEPLOYED","No Data","96 - NONE","No Data","0","96 - NONE","97 - NOT APPLICABLE","1 - NO","H - HISPANIC","1 - MALE","97 - NOT APPLICABLE","N - NOT INJURED","0","1","1","0","1 - SHOULDER & LAP BELT","0","No Data","0","1 - DRIVER","0","1 - FRONT LEFT OR MOTORCYCLE DRIVER","0"
"20054309","Yes","NO CHARGES","No Data","50","1 - NOT DEPLOYED","No Data","96 - NONE","No Data","0","96 - NONE","97 - NOT APPLICABLE","1 - NO","B - BLACK","2 - FEMALE","97 - NOT APPLICABLE","N - NOT INJURED","0","1","1","0","1 - SHOULDER & LAP BELT","0","No Data","0","1 - DRIVER","0","1 - FRONT LEFT OR MOTORCYCLE DRIVER","0"
"20054309","Yes","NO CHARGES","No Data","13","1 - NOT DEPLOYED","No Data","No Data","No Data","0","No Data","No Data","1 - NO","No Data","1 - MALE","97 - NOT APPLICABLE","N - NOT INJURED","0","1","2","0","1 - SHOULDER & LAP BELT","0","No Data","0","2 - PASSENGER/OCCUPANT","0","5 - SECOND SEAT CENTER","0"
"20054637","Yes","NO CHARGES","No Data","40","2 - DEPLOYED, FRONT","No Data","96 - NONE","No Data","0","96 - NONE","97 - NOT APPLICABLE","1 - NO","A - ASIAN","1 - MALE","97 - NOT APPLICABLE","B - SUSPECTED MINOR INJURY","1","0","1","0","1 - SHOULDER & LAP BELT","0","No Data","1","1 - DRIVER","0","1 - FRONT LEFT OR MOTORCYCLE DRIVER","0"
"20054637","Yes","NO CHARGES","No Data","28","1 - NOT DEPLOYED","No Data","96 - NONE","No Data","0","96 - NONE","97 - NOT APPLICABLE","1 - NO","W - WHITE","2 - FEMALE","97 - NOT APPLICABLE","N - NOT INJURED","0","1","1","0","1 - SHOULDER & LAP BELT","0","No Data","0","1 - DRIVER","0","1 - FRONT LEFT OR MOTORCYCLE DRIVER","0"
"20055238","Yes","NO CHARGES","No Data","34","1 - NOT DEPLOYED","No Data","96 - NONE","No Data","0","96 - NONE","97 - NOT APPLICABLE","1 - NO","H - HISPANIC","1 - MALE","97 - NOT APPLICABLE","N - NOT INJURED","0","1","1","0","1 - SHOULDER & LAP BELT","0","No Data","0","1 - DRIVER","0","1 - FRONT LEFT OR MOTORCYCLE DRIVER","0"
"20055238","Yes","NO CHARGES","No Data","23","2 - DEPLOYED, FRONT","No Data","96 - NONE","No Data","0","96 - NONE","97 - NOT APPLICABLE","1 - NO","H - HISPANIC","2 - FEMALE","97 - NOT APPLICABLE","N - NOT INJURED","0","1","1","0","2 - SHOULDER BELT ONLY","0","No Data","0","1 - DRIVER","0","1 - FRONT LEFT OR MOTORCYCLE DRIVER","0"
"20055777","Yes","NO CHARGES","No Data","38","1 - NOT DEPLOYED","No Data","96 - NONE","No Data","0","96 - NONE","97 - NOT APPLICABLE","1 - NO","W - WHITE","2 - FEMALE","97 - NOT APPLICABLE","N - NOT INJURED","0","1","1","0","1 - SHOULDER & LAP BELT","0","No Data","0","1 - DRIVER","0","1 - FRONT LEFT OR MOTORCYCLE DRIVER","0"
"20055777","Yes","NO CHARGES","No Data","61","1 - NOT DEPLOYED","No Data","96 - NONE","No Data","0","96 - NONE","97 - NOT APPLICABLE","1 - NO","H - HISPANIC","2 - FEMALE","97 - NOT APPLICABLE","N - NOT INJURED","0","1","1","0","1 - SHOULDER & LAP BELT","0","No Data","0","1 - DRIVER","0","1 - FRONT LEFT OR MOTORCYCLE DRIVER","0"
"20056127","Yes","NO CHARGES","No Data","0","99 - UNKNOWN","No Data","96 - NONE","No Data","0","96 - NONE","97 - NOT APPLICABLE","99 - UNKNOWN","99 - UNKNOWN","99 - UNKNOWN","97 - NOT APPLICABLE","99 - UNKNOWN","0","0","1","0","99 - UNKNOWN","0","No Data","0","99 - UNKNOWN","1","99 - UNKNOWN","0"
"20056128","Yes","NO CHARGES","No Data","58","2 - DEPLOYED, FRONT","No Data","96 - NONE","No Data","0","96 - NONE","97 - NOT APPLICABLE","1 - NO","H - HISPANIC","1 - MALE","97 - NOT APPLICABLE","N - NOT INJURED","0","1","1","0","1 - SHOULDER & LAP BELT","0","No Data","0","1 - DRIVER","0","1 - FRONT LEFT OR MOTORCYCLE DRIVER","0"
"20056128","Yes","NO CHARGES","No Data","60","1 - NOT DEPLOYED","No Data","96 - NONE","No Data","0","96 - NONE","97 - NOT APPLICABLE","1 - NO","H - HISPANIC","1 - MALE","97 - NOT APPLICABLE","N - NOT INJURED","0","1","1","0","1 - SHOULDER & LAP BELT","0","No Data","0","1 - DRIVER","0","1 - FRONT LEFT OR MOTORCYCLE DRIVER","0"
"20056129","No","NO CHARGES","No Data","No Data","99 - UNKNOWN","No Data","96 - NONE","No Data","0","96 - NONE","97 - NOT APPLICABLE","1 - NO","W - WHITE","1 - MALE","97 - NOT APPLICABLE","N - NOT INJURED","0","1","1","0","99 - UNKNOWN","0","No Data","0","99 - UNKNOWN","0","1 - FRONT LEFT OR MOTORCYCLE DRIVER","0"
"20056129","No","NO CHARGES","No Data","56","1 - NOT DEPLOYED","No Data","96 - NONE","No Data","0","96 - NONE","97 - NOT APPLICABLE","1 - NO","B - BLACK","1 - MALE","97 - NOT APPLICABLE","N - NOT INJURED","0","1","1","0","1 - SHOULDER & LAP BELT","0","No Data","0","1 - DRIVER","0","1 - FRONT LEFT OR MOTORCYCLE DRIVER","0"
"20056130","Yes","NO CHARGES","No Data","25","1 - NOT DEPLOYED","No Data","96 - NONE","No Data","0","96 - NONE","97 - NOT APPLICABLE","1 - NO","B - BLACK","2 - FEMALE","97 - NOT APPLICABLE","N - NOT INJURED","0","1","1","0","1 - SHOULDER & LAP BELT","0","No Data","0","1 - DRIVER","0","1 - FRONT LEFT OR MOTORCYCLE DRIVER","0"
"20056132","Yes","NO CHARGES","No Data","29","5 - DEPLOYED, MULTIPLE","No Data","96 - NONE","No Data","0","96 - NONE","97 - NOT APPLICABLE","1 - NO","H - HISPANIC","2 - FEMALE","97 - NOT APPLICABLE","N - NOT INJURED","0","1","1","0","1 - SHOULDER & LAP BELT","0","No Data","0","1 - DRIVER","0","1 - FRONT LEFT OR MOTORCYCLE DRIVER","0"
"20056132","Yes","NO CHARGES","No Data","18","5 - DEPLOYED, MULTIPLE","No Data","No Data","No Data","0","No Data","No Data","1 - NO","H - HISPANIC","2 - FEMALE","97 - NOT APPLICABLE","N - NOT INJURED","0","1","2","0","1 - SHOULDER & LAP BELT","0","No Data","0","2 - PASSENGER/OCCUPANT","0","4 - SECOND SEAT LEFT OR MOTORCYCLE BACK PASSENGER","0"
"20056132","Yes","NO CHARGES","No Data","14","5 - DEPLOYED, MULTIPLE","No Data","No Data","No Data","0","No Data","No Data","1 - NO","H - HISPANIC","2 - FEMALE","97 - NOT APPLICABLE","N - NOT INJURED","0","1","3","0","1 - SHOULDER & LAP BELT","0","No Data","0","2 - PASSENGER/OCCUPANT","0","6 - SECOND SEAT RIGHT","0"
"20056135","No","FAILURE TO MAINTAIN ASSURED CLEARED DISTANCE","E17693529","31","1 - NOT DEPLOYED","No Data","96 - NONE","No Data","0","96 - NONE","97 - NOT APPLICABLE","1 - NO","H - HISPANIC","1 - MALE","97 - NOT APPLICABLE","N - NOT INJURED","0","1","1","0","1 - SHOULDER & LAP BELT","0","No Data","0","1 - DRIVER","0","1 - FRONT LEFT OR MOTORCYCLE DRIVER","0"
"20056135","No","NO CHARGES","No Data","51","1 - NOT DEPLOYED","No Data","96 - NONE","No Data","0","96 - NONE","97 - NOT APPLICABLE","1 - NO","B - BLACK","1 - MALE","97 - NOT APPLICABLE","C - POSSIBLE INJURY","0","0","1","1","1 - SHOULDER & LAP BELT","0","No Data","1","1 - DRIVER","0","1 - FRONT LEFT OR MOTORCYCLE DRIVER","0"
"20056136","Yes","NO CHARGES","No Data","53","2 - DEPLOYED, FRONT","No Data","96 - NONE","No Data","0","96 - NONE","97 - NOT APPLICABLE","1 - NO","W - WHITE","1 - MALE","97 - NOT APPLICABLE","N - NOT INJURED","0","1","1","0","1 - SHOULDER & LAP BELT","0","No Data","0","1 - DRIVER","0","1 - FRONT LEFT OR MOTORCYCLE DRIVER","0"
"20056136","Yes","NO CHARGES","No Data","22","1 - NOT DEPLOYED","No Data","96 - NONE","No Data","0","96 - NONE","97 - NOT APPLICABLE","1 - NO","W - WHITE","1 - MALE","97 - NOT APPLICABLE","N - NOT INJURED","0","1","1","0","1 - SHOULDER & LAP BELT","0","No Data","0","1 - DRIVER","0","1 - FRONT LEFT OR MOTORCYCLE DRIVER","0"
"20056136","Yes","NO CHARGES","No Data","34","1 - NOT DEPLOYED","No Data","96 - NONE","No Data","0","96 - NONE","97 - NOT APPLICABLE","1 - NO","H - HISPANIC","1 - MALE","97 - NOT APPLICABLE","N - NOT INJURED","0","1","1","0","1 - SHOULDER & LAP BELT","0","No Data","0","1 - DRIVER","0","1 - FRONT LEFT OR MOTORCYCLE DRIVER","0"
"20056137","Yes","FTYFPD","E16781965","45","1 - NOT DEPLOYED","No Data","96 - NONE","No Data","0","96 - NONE","97 - NOT APPLICABLE","1 - NO","B - BLACK","1 - MALE","97 - NOT APPLICABLE","N - NOT INJURED","0","1","1","0","1 - SHOULDER & LAP BELT","0","No Data","0","1 - DRIVER","0","1 - FRONT LEFT OR MOTORCYCLE DRIVER","0"
"20056137","Yes","NO CHARGES","No Data","38","5 - DEPLOYED, MULTIPLE","No Data","96 - NONE","No Data","0","96 - NONE","97 - NOT APPLICABLE","1 - NO","W - WHITE","1 - MALE","97 - NOT APPLICABLE","N - NOT INJURED","0","1","1","0","1 - SHOULDER & LAP BELT","0","No Data","0","1 - DRIVER","0","1 - FRONT LEFT OR MOTORCYCLE DRIVER","0"
"20056138","Yes","NO CHARGES","No Data","60","1 - NOT DEPLOYED","No Data","96 - NONE","No Data","0","96 - NONE","97 - NOT APPLICABLE","1 - NO","99 - UNKNOWN","2 - FEMALE","97 - NOT APPLICABLE","99 - UNKNOWN","0","0","1","0","99 - UNKNOWN","0","No Data","0","1 - DRIVER","1","1 - FRONT LEFT OR MOTORCYCLE DRIVER","0"
"20056138","Yes","NO CHARGES","No Data","26","1 - NOT DEPLOYED","No Data","96 - NONE","No Data","0","96 - NONE","97 - NOT APPLICABLE","1 - NO","H - HISPANIC","2 - FEMALE","97 - NOT APPLICABLE","A - SUSPECTED SERIOUS INJURY","0","0","1","0","1 - SHOULDER & LAP BELT","1","No Data","1","1 - DRIVER","0","1 - FRONT LEFT OR MOTORCYCLE DRIVER","0"
"20056138","Yes","NO CHARGES","No Data","45","1 - NOT DEPLOYED","No Data","96 - NONE","No Data","0","96 - NONE","97 - NOT APPLICABLE","1 - NO","99 - UNKNOWN","2 - FEMALE","97 - NOT APPLICABLE","99 - UNKNOWN","0","0","1","0","1 - SHOULDER & LAP BELT","0","No Data","0","1 - DRIVER","1","1 - FRONT LEFT OR MOTORCYCLE DRIVER","0"
"20056139","Yes","NO CHARGES","No Data","31","2 - DEPLOYED, FRONT","No Data","96 - NONE","No Data","0","96 - NONE","97 - NOT APPLICABLE","1 - NO","W - WHITE","1 - MALE","97 - NOT APPLICABLE","B - SUSPECTED MINOR INJURY","1","0","1","0","1 - SHOULDER & LAP BELT","0","No Data","1","1 - DRIVER","0","1 - FRONT LEFT OR MOTORCYCLE DRIVER","0"
"20056140","Yes","FAIL TO MAINTAIN ASSURE CLEAR DISTANCE","E18314031","35","1 - NOT DEPLOYED","No Data","96 - NONE","No Data","0","96 - NONE","97 - NOT APPLICABLE","1 - NO","H - HISPANIC","1 - MALE","97 - NOT APPLICABLE","N - NOT INJURED","0","1","1","0","1 - SHOULDER & LAP BELT","0","No Data","0","1 - DRIVER","0","1 - FRONT LEFT OR MOTORCYCLE DRIVER","0"
"20056140","Yes","NO CHARGES","No Data","41","1 - NOT DEPLOYED","No Data","96 - NONE","No Data","0","96 - NONE","97 - NOT APPLICABLE","1 - NO","H - HISPANIC","1 - MALE","97 - NOT APPLICABLE","N - NOT INJURED","0","1","1","0","1 - SHOULDER & LAP BELT","0","No Data","0","1 - DRIVER","0","1 - FRONT LEFT OR MOTORCYCLE DRIVER","0"
"20056141","No","NO CHARGES","No Data","29","1 - NOT DEPLOYED","No Data","96 - NONE","No Data","0","96 - NONE","97 - NOT APPLICABLE","1 - NO","W - WHITE","2 - FEMALE","97 - NOT APPLICABLE","N - NOT INJURED","0","1","1","0","1 - SHOULDER & LAP BELT","0","No Data","0","1 - DRIVER","0","1 - FRONT LEFT OR MOTORCYCLE DRIVER","0"
"20056141","No","NO CHARGES","No Data","28","1 - NOT DEPLOYED","No Data","96 - NONE","No Data","0","96 - NONE","97 - NOT APPLICABLE","97 - NOT APPLICABLE","W - WHITE","1 - MALE","97 - NOT APPLICABLE","N - NOT INJURED","0","1","1","0","1 - SHOULDER & LAP BELT","0","No Data","0","1 - DRIVER","0","1 - FRONT LEFT OR MOTORCYCLE DRIVER","0"
"20056141","No","NO CHARGES","No Data","62","1 - NOT DEPLOYED","No Data","No Data","No Data","0","No Data","No Data","97 - NOT APPLICABLE","W - WHITE","1 - MALE","97 - NOT APPLICABLE","N - NOT INJURED","0","1","2","0","1 - SHOULDER & LAP BELT","0","No Data","0","2 - PASSENGER/OCCUPANT","0","3 - FRONT RIGHT","0"
"20056143","Yes","AMC FAILED TO MAINTAIN ASSURED CLEAR DISTANCE-COLLISION","E17532077","21","1 - NOT DEPLOYED","No Data","96 - NONE","No Data","0","96 - NONE","97 - NOT APPLICABLE","1 - NO","H - HISPANIC","1 - MALE","97 - NOT APPLICABLE","N - NOT INJURED","0","1","1","0","1 - SHOULDER & LAP BELT","0","No Data","0","1 - DRIVER","0","1 - FRONT LEFT OR MOTORCYCLE DRIVER","0"
"20056143","Yes","NO CHARGES","No Data","34","2 - DEPLOYED, FRONT","No Data","96 - NONE","No Data","0","96 - NONE","97 - NOT APPLICABLE","1 - NO","H - HISPANIC","1 - MALE","97 - NOT APPLICABLE","B - SUSPECTED MINOR INJURY","1","0","1","0","2 - SHOULDER BELT ONLY","0","No Data","1","1 - DRIVER","0","1 - FRONT LEFT OR MOTORCYCLE DRIVER","0"
"20056143","Yes","NO CHARGES","No Data","30","2 - DEPLOYED, FRONT","No Data","No Data","No Data","0","No Data","No Data","1 - NO","H - HISPANIC","1 - MALE","97 - NOT APPLICABLE","N - NOT INJURED","0","1","2","0","1 - SHOULDER & LAP BELT","0","No Data","0","2 - PASSENGER/OCCUPANT","0","3 - FRONT RIGHT","0"
"20056143","Yes","NO CHARGES","No Data","30","2 - DEPLOYED, FRONT","No Data","No Data","No Data","0","No Data","No Data","1 - NO","H - HISPANIC","1 - MALE","97 - NOT APPLICABLE","N - NOT INJURED","0","1","3","0","1 - SHOULDER & LAP BELT","0","No Data","0","2 - PASSENGER/OCCUPANT","0","4 - SECOND SEAT LEFT OR MOTORCYCLE BACK PASSENGER","0"
"20056143","Yes","NO CHARGES","No Data","No Data","5 - DEPLOYED, MULTIPLE","No Data","No Data","No Data","0","No Data","No Data","1 - NO","H - HISPANIC","1 - MALE","97 - NOT APPLICABLE","B - SUSPECTED MINOR INJURY","1","0","4","0","1 - SHOULDER & LAP BELT","0","No Data","1","2 - PASSENGER/OCCUPANT","0","6 - SECOND SEAT RIGHT","0"
"20056143","Yes","NO CHARGES","No Data","30","1 - NOT DEPLOYED","No Data","96 - NONE","No Data","0","96 - NONE","97 - NOT APPLICABLE","1 - NO","H - HISPANIC","1 - MALE","97 - NOT APPLICABLE","N - NOT INJURED","0","1","1","0","1 - SHOULDER & LAP BELT","0","No Data","0","1 - DRIVER","0","1 - FRONT LEFT OR MOTORCYCLE DRIVER","0"
"20056143","Yes","NO CHARGES","No Data","61","1 - NOT DEPLOYED","No Data","96 - NONE","No Data","0","96 - NONE","97 - NOT APPLICABLE","1 - NO","W - WHITE","1 - MALE","97 - NOT APPLICABLE","N - NOT INJURED","0","1","1","0","1 - SHOULDER & LAP BELT","0","No Data","0","1 - DRIVER","0","1 - FRONT LEFT OR MOTORCYCLE DRIVER","0"
"20056143","Yes","NO CHARGES","No Data","49","1 - NOT DEPLOYED","No Data","No Data","No Data","0","No Data","No Data","1 - NO","W - WHITE","2 - FEMALE","97 - NOT APPLICABLE","N - NOT INJURED","0","1","2","0","1 - SHOULDER & LAP BELT","0","No Data","0","2 - PASSENGER/OCCUPANT","0","1 - FRONT LEFT OR MOTORCYCLE DRIVER","0"
"20056144","Yes","AMC FAILED TO YIELD - LEFT TURN INTERSECTION","E17786304","87","5 - DEPLOYED, MULTIPLE","No Data","96 - NONE","No Data","0","96 - NONE","97 - NOT APPLICABLE","1 - NO","A - ASIAN","1 - MALE","97 - NOT APPLICABLE","B - SUSPECTED MINOR INJURY","1","0","1","0","1 - SHOULDER & LAP BELT","0","No Data","1","1 - DRIVER","0","1 - FRONT LEFT OR MOTORCYCLE DRIVER","0"
"20056144","Yes","NO CHARGES","No Data","No Data","5 - DEPLOYED, MULTIPLE","No Data","No Data","No Data","0","No Data","No Data","1 - NO","A - ASIAN","2 - FEMALE","97 - NOT APPLICABLE","B - SUSPECTED MINOR INJURY","1","0","2","0","1 - SHOULDER & LAP BELT","0","No Data","1","2 - PASSENGER/OCCUPANT","0","3 - FRONT RIGHT","0"
"20056144","Yes","NO CHARGES","No Data","36","1 - NOT DEPLOYED","No Data","96 - NONE","No Data","0","96 - NONE","97 - NOT APPLICABLE","1 - NO","H - HISPANIC","1 - MALE","97 - NOT APPLICABLE","N - NOT INJURED","0","1","1","0","1 - SHOULDER & LAP BELT","0","No Data","0","1 - DRIVER","0","1 - FRONT LEFT OR MOTORCYCLE DRIVER","0"
"20056145","No","NO CHARGES","No Data","42","97 - NOT APPLICABLE","No Data","96 - NONE","No Data","0","96 - NONE","97 - NOT APPLICABLE","97 - NOT APPLICABLE","W - WHITE","1 - MALE","1 - NOT WORN","B - SUSPECTED MINOR INJURY","1","0","1","0","97 - NOT APPLICABLE","0","No Data","1","3 - PEDALCYCLIST","0","16 - PEDESTRIAN, PEDALCYCLIST, OR MOTORIZED CONVEYANCE","0"
"20056146","Yes","NO CHARGES","No Data","46","1 - NOT DEPLOYED","No Data","96 - NONE","No Data","0","96 - NONE","97 - NOT APPLICABLE","1 - NO","B - BLACK","1 - MALE","97 - NOT APPLICABLE","N - NOT INJURED","0","1","1","0","1 - SHOULDER & LAP BELT","0","No Data","0","1 - DRIVER","0","1 - FRONT LEFT OR MOTORCYCLE DRIVER","0"
"20056146","Yes","NO CHARGES","No Data","24","1 - NOT DEPLOYED","No Data","96 - NONE","No Data","0","96 - NONE","97 - NOT APPLICABLE","1 - NO","H - HISPANIC","2 - FEMALE","97 - NOT APPLICABLE","N - NOT INJURED","0","1","1","0","1 - SHOULDER & LAP BELT","0","No Data","0","1 - DRIVER","0","1 - FRONT LEFT OR MOTORCYCLE DRIVER","0"
